Artist,Album,TrackName,TrackId,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,URI,Track-Href,Analysis-Url,Duration_ms,Time_signature
The Front Bottoms,Talon Of The Hawk,Skeleton,0AQkGu9aSC99VpKaS9MfwP,0.419,0.931,0,-5.147,1,0.068,0.00858,0,0.0991,0.697,147.537,audio_features,0AQkGu9aSC99VpKaS9MfwP,spotify:track:0AQkGu9aSC99VpKaS9MfwP,https://api.spotify.com/v1/tracks/0AQkGu9aSC99VpKaS9MfwP,https://api.spotify.com/v1/audio-analysis/0AQkGu9aSC99VpKaS9MfwP,215107,4
Death Cab for Cutie,Plans,Soul Meets Body,5yc59J3MR3tVDPTOgwgRI5,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142,audio_features,5yc59J3MR3tVDPTOgwgRI5,spotify:track:5yc59J3MR3tVDPTOgwgRI5,https://api.spotify.com/v1/tracks/5yc59J3MR3tVDPTOgwgRI5,https://api.spotify.com/v1/audio-analysis/5yc59J3MR3tVDPTOgwgRI5,229413,4
AnnenMayKantereit,Tom's Diner,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222,audio_features,0oA9wBGDY4uyILLg4GymWP,spotify:track:0oA9wBGDY4uyILLg4GymWP,https://api.spotify.com/v1/tracks/0oA9wBGDY4uyILLg4GymWP,https://api.spotify.com/v1/audio-analysis/0oA9wBGDY4uyILLg4GymWP,269333,4
AnnenMayKantereit,Alles nix konkretes,Barfuß am Klavier,4kr64ggr6ALZGxnkGdhK7b,0.52,0.27,0,-11.575,1,0.029,0.885,0.0231,0.117,0.213,103.211,audio_features,4kr64ggr6ALZGxnkGdhK7b,spotify:track:4kr64ggr6ALZGxnkGdhK7b,https://api.spotify.com/v1/tracks/4kr64ggr6ALZGxnkGdhK7b,https://api.spotify.com/v1/audio-analysis/4kr64ggr6ALZGxnkGdhK7b,195372,4
The Magnetic Fields,Love at the Bottom of the Sea,Quick!,6QB3c0pwrvlgKa5qD7flAL,0.637,0.546,7,-8.399,1,0.0437,0.0774,0,0.0786,0.621,80.014,audio_features,6QB3c0pwrvlgKa5qD7flAL,spotify:track:6QB3c0pwrvlgKa5qD7flAL,https://api.spotify.com/v1/tracks/6QB3c0pwrvlgKa5qD7flAL,https://api.spotify.com/v1/audio-analysis/6QB3c0pwrvlgKa5qD7flAL,148080,4
of Montreal,Cherry Peel,Tim I Wish You Were Born a Girl,5w0YVh60jFg0ArevIoMsUH,0.803,0.422,5,-8.008,1,0.0385,0.816,0,0.3,0.582,117.745,audio_features,5w0YVh60jFg0ArevIoMsUH,spotify:track:5w0YVh60jFg0ArevIoMsUH,https://api.spotify.com/v1/tracks/5w0YVh60jFg0ArevIoMsUH,https://api.spotify.com/v1/audio-analysis/5w0YVh60jFg0ArevIoMsUH,106533,4
The Mountain Goats,Heretic Pride,Lovecraft in Brooklyn,5H9xiKyWF4YiRKG8vpx5wU,0.579,0.803,11,-7.938,0,0.0445,0.000396,0.524,0.321,0.787,149.671,audio_features,5H9xiKyWF4YiRKG8vpx5wU,spotify:track:5H9xiKyWF4YiRKG8vpx5wU,https://api.spotify.com/v1/tracks/5H9xiKyWF4YiRKG8vpx5wU,https://api.spotify.com/v1/audio-analysis/5H9xiKyWF4YiRKG8vpx5wU,231200,4
half•alive,What's Wrong,What's Wrong,1C5YO3ItmCjO2lUtLQmYYO,0.677,0.66,2,-6.682,1,0.129,0.00779,0.021,0.0941,0.611,153.982,audio_features,1C5YO3ItmCjO2lUtLQmYYO,spotify:track:1C5YO3ItmCjO2lUtLQmYYO,https://api.spotify.com/v1/tracks/1C5YO3ItmCjO2lUtLQmYYO,https://api.spotify.com/v1/audio-analysis/1C5YO3ItmCjO2lUtLQmYYO,177187,4
half•alive,3,Tip Toes,7DwaOIkZk8qLJKGX7XTF2l,0.68,0.789,5,-5.589,1,0.159,0.039,3.75e-06,0.112,0.54,130.029,audio_features,7DwaOIkZk8qLJKGX7XTF2l,spotify:track:7DwaOIkZk8qLJKGX7XTF2l,https://api.spotify.com/v1/tracks/7DwaOIkZk8qLJKGX7XTF2l,https://api.spotify.com/v1/audio-analysis/7DwaOIkZk8qLJKGX7XTF2l,195047,4
Destroy Boys,"Sorry, Mom",I Threw Glass at My Friend's Eyes and Now I'm on Probation,2NBxGmbCTLArOiMyWEWsPE,0.457,0.943,1,-5.271,0,0.0768,0.216,0.000245,0.206,0.373,101.837,audio_features,2NBxGmbCTLArOiMyWEWsPE,spotify:track:2NBxGmbCTLArOiMyWEWsPE,https://api.spotify.com/v1/tracks/2NBxGmbCTLArOiMyWEWsPE,https://api.spotify.com/v1/audio-analysis/2NBxGmbCTLArOiMyWEWsPE,157440,4
America,America,A Horse with No Name,54eZmuggBFJbV7k248bTTt,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,54eZmuggBFJbV7k248bTTt,spotify:track:54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,252240,4
Wilderado,Latigo EP,Rubble To Rubble,6nl9BAvm7wMV2mEEChRzA9,0.558,0.454,9,-8.377,0,0.0378,0.376,4.76e-06,0.258,0.285,134.94,audio_features,6nl9BAvm7wMV2mEEChRzA9,spotify:track:6nl9BAvm7wMV2mEEChRzA9,https://api.spotify.com/v1/tracks/6nl9BAvm7wMV2mEEChRzA9,https://api.spotify.com/v1/audio-analysis/6nl9BAvm7wMV2mEEChRzA9,204000,4
